Reference,Left,KWIC,Right
"PA720512,2017-07-10,Pietraszewski, Laurent","favorable. Il est clair, dans mon esprit comme dans celui de la ministre, que les dispositions d'' ordre",public seront respectées,". Vous nous donnez là une occasion de le démontrer. Quel est l'' avis du Gouvernement ? Comme le rapporteur, je suis"
"PA718720,2017-07-10,Dufrègne, Jean-Paul","la branche, les entreprises d'' un même secteur suspendent la concurrence qu'' elles se font et s'' assurent que les bonnes",pratiques seront respectées,"partout. Elles interdisent ainsi le dumping, c''est-à-dire la concurrence déloyale. Permettre aux entreprises de"
"PA267585,2017-07-11,Vercamer, Francis","représentation nationale soit associée à l'' écriture de ces ordonnances par l'' intermédiaire des groupes, pour que la",pluralité soit respectée,. Je souhaite savoir si le Gouvernement a pris en compte cette demande et s'' il compte la satisfaire. Très bien ! La parole
"PA720546,2017-07-11,Bruneel, Alain","leur sont faites, sans pouvoir proposer d'' alternatives. Ensuite, parce que les salariés courent le risque que leur",refus soit immédiatement sanctionné,", dans une forme inacceptable de chantage à l'' emploi. Enfin, parce que la logique référendaire est le contraire, la"
"PA721418,2017-07-11,Mignola, Patrick",l'' entreprise pour éviter la concurrence déloyale au sein d'' un même secteur d'' activité. Puisqu'' à ce jour 74 % des,salariés sont représentés,"dans seulement 13 % des branches et que, dans le même temps, 24 % des branches – de mémoire – représentent 0,2 % des"
"PA720512,2017-07-11,Pietraszewski, Laurent","protection sociale et avantages sociaux à tous, y compris à ceux qui travaillent dans les petites entreprises et qui",ne sont pas représentés,", et de densifier le dialogue social que nous appelons de nos vœux. Quel est l'' avis du Gouvernement sur l'' amendement et"
"PA609590,2017-07-11,Rabault, Valérie",". La parole est à Mme Valérie Rabault , pour soutenir l'' amendement n° 428. Au cours de nos débats, Mme la ministre s",'' est engagée,"plusieurs fois en disant que la hiérarchie des normes serait respectée. Avec cet amendement, nous souhaiterions"
"PA609590,2017-07-11,Rabault, Valérie","'' amendement n° 428. Au cours de nos débats, Mme la ministre s'' est engagée plusieurs fois en disant que la hiérarchie des",normes serait respectée,". Avec cet amendement, nous souhaiterions préciser ce qui ne sortira pas du champ de la loi, pour avoir la certitude que"
"PA609590,2017-07-11,Rabault, Valérie",", nous souhaiterions préciser ce qui ne sortira pas du champ de la loi, pour avoir la certitude que la hiérarchie des",normes serait bien respectée,", mais aussi ce qui est contenu dans le périmètre de la loi. Nous souhaitons qu'' il soit fait mention explicite dans les"
"PA720298,2017-07-11,Cariou, Émilie",", nous sommes bien sûr parfaitement déterminés à rendre plus efficace la politique de notre pays en la matière. La",France est engagée,"dans un certain nombre de chantiers internationaux, dans le cadre de l'' OCDE et du G20 , mais aussi en partenariat avec"
"PA720546,2017-07-11,Bruneel, Alain","du côté des salariés, de la frustration car ils ne sont pas en mesure de savoir comment les sommes ont été utilisées : ont -",elles été engagées,"pour l'' investissement, pour le recrutement, pour des hausses de salaire ou bien encore pour opérer des licenciements"
"PA721210,2017-07-11,Corbière, Alexis",qui est le vôtre : rendre tout cela plus confus pour casser des instances qui permettaient jusqu'' ici aux salariés d,'' être représentés,au mieux. ( Applaudissements sur les bancs du groupe FI et sur plusieurs bancs du groupe GDR .) Je suis saisi de quatre
"PA720692,2017-07-11,Roussel, Fabien","ce cas particulier, qui se généralise. Ce salarié, en retraite aujourd''hui, a payé 3 000 euros son appareil auditif. Il",a été remboursé,de 159 euros par sa mutuelle et de 260 euros par la Sécurité sociale . Au regard des maigres pensions que perçoivent les
"PA722110,2017-07-11,Wulfranc, Hubert","depuis 2015. C '' est honteux ! De surcroît, les exigences en matière d'' équipement de protection individuelle",ne sont pas respectées,", encore moins celles concernant les équipements de protection collective, malgré plusieurs interventions et"
"PA720546,2017-07-11,Bruneel, Alain",", des territoires dont nous sommes l'' émanation et de la République dont nous sommes la représentation. Nous demandons",à être respectés,"! Monsieur Jumel , j'' ai lu moi aussi ces commentaires sur les réseaux sociaux, et je tiens à vous répondre avec la plus"
"PA720430,2017-07-11,Bernalicis, Ugo",", cher collègue, pour défendre l'' idée que le MEDEF n'' est pas une organisation représentative et qu'' il ne mérite pas d",'' être auditionné et représenté,"dans toutes les chambres de commerce et d'' industrie, comme c'' est actuellement le cas. La parole est à M. Dominique Da"
"PA342415,2017-07-11,Battistel, Marie-Noëlle","fois, la loi renforce le rôle des commissions paritaires. Chaque salarié, y compris dans les très petites entreprises",", est représenté",". Le principe de participation des travailleurs, inscrit dans notre Constitution depuis 1946, prend toute sa force."
"PA719930,2017-07-11,Vallaud, Boris","à désirer. La parole est à M. Boris Vallaud . Je veux être sûr de comprendre ce qui est proposé. Le terme "" renforcer",""" est remplacé","par celui de "" redéfinir "". Je souhaite que chacun ait en tête ce qui vient d'' être dit. Redéfinir le rôle des CPRI signifie"
