Reference,Left,KWIC,Right
"PA606212,2017-07-06,Collard, Gilbert",jour où l'' on rend des comptes aux électeurs et où il faut leur expliquer ses décisions. Il est vrai que nos policiers ont,été agressés,"pendant l'' état d'' urgence, que des dégradations ont été commises et que des attentats ont eu lieu, mais qui d'' entre nous"
"PA720454,2017-07-06,Houbron, Dimitri",! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous nous,sommes engagés,", apaisés, déterminés et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés."
"PA720454,2017-07-06,Houbron, Dimitri",! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous nous,"sommes engagés , apaisés",", déterminés et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés. La"
"PA720454,2017-07-06,Houbron, Dimitri",! Je vois un pays splendide et un peuple de génie résister à cet abîme ; je vois les êtres pour lesquels nous nous,"sommes engagés , apaisés, déterminés",et libres. Ce que nous allons accomplir aujourd''hui est bien meilleur que tous nos actes passés. La discussion
"PA721960,2017-07-06,Obono, Danièle","responsables si un nouvel attentat a lieu, car nous sommes tous et toutes des responsables politiques ; nous avons",été élus,"pour prendre en charge, discuter, débattre et assumer la responsabilité de ce qui se passe aujourd''hui. Quel rapport"
"PA2150,2017-07-06,Mélenchon, Jean-Luc",? Et nous avons vaincu. Outre l'' argument de l'' efficacité invoqué par nos deux collègues – l'' un suggérant que les moyens,soient contrôlés,"autant que les opérations elles-mêmes –, nous grandirions notre démocratie en montrant qu'' elle est capable de"
"PA267785,2017-07-06,Larrivé, Guillaume","insoumise est vraiment contraire à la Constitution , dans la mesure où celle-ci exclut que les actes d'' administration",soient contrôlés,"par l'' autorité judiciaire. Si je lis bien votre amendement, vous proposez que le juge de l'' application des peines"
"PA720684,2017-07-06,Dumont, Pierre-Henri",". Le retrait des documents d'' identité ne vaudrait que pour un temps donné, et les personnes concernées pourraient",être assistées,"par des conseils ou des mandataires, afin que leurs droits soient garantis. Monsieur le rapporteur, quel est l'' avis de"
"PA719202,2017-07-06,Paris, Didier","le censurer. En outre, serait - il légitime que le droit français ne considère pas tous les détenus, y compris ceux ayant",été condamnés,"pour terrorisme, comme des sujets de droit ? Il n'' est pas certain, dans une telle hypothèse, que nous n'' obtenions pas un"
"PA335612,2017-07-10,Lecoq, Jean-Paul","examen en séance ne peut être inférieur à sept jours – un délai serré, mais acceptable. Lorsque la procédure accélérée",est engagée,", comme c'' est le cas pour ce texte, le texte doit être mis à disposition "" dans les meilleurs délais "". Nul doute que cette"
",2017-07-10,","se termine par un contentieux, et que 60 % des contentieux vont en appel, faute de règles claires ? Savez - vous qu'' on peut",être condamné,"aux prud''hommes pour avoir mal rédigé une lettre de licenciement, alors même que les raisons de fond qu'' on avance sont"
"PA720512,2017-07-10,Pietraszewski, Laurent",à l'' employeur. Ce n'' est pas le sujet ! Cette nouvelle organisation du dialogue social dans l'' entreprise,est accompagnée,", en toute logique, de mesures visant à renforcer la formation des élus du personnel et des représentants syndicaux. L''"
"PA720878,2017-07-10,Saint-Martin, Laurent","la remise, avant le 30 septembre prochain, d'' un rapport sur l'' expérimentation conduite cet été. Le ministre s''",est engagé,à informer de façon complète et rapide la commission des finances sur les résultats de l'' expérimentation et de l'' audit
"PA608083,2017-07-10,Bourguignon, Brigitte","l'' attachement de notre commission aux droits de l'' opposition. Ainsi, même s'' il ne s'' agit que d'' une faculté qui lui","était laissée, elle a accepté",", de manière inédite, la désignation anticipée d'' un député de l'' opposition en qualité de rapporteur sur l''"
"PA610681,2017-07-10,Bareigts, Ericka","ni avantages du marché du travail, ni avantages économiques. En outre, les changements postérieurs à la crise ont",été accompagnés,d'' une augmentation de l'' emploi précaire dans les pays qui avaient particulièrement misé sur les efforts de
"PA610681,2017-07-10,Bareigts, Ericka","des réformes Hartz sur le marché du travail allemand, fait état du même constat : les réformes du droit du travail se",sont accompagnées,d'' un accroissement de l'' emploi précaire. Elle indique aussi que le faible impact de la crise de 2008-2009 sur le marché
"PA610681,2017-07-10,Bareigts, Ericka","prouve bien que le dispositif n'' est pas impossible à mettre en œuvre. Lors de la campagne présidentielle, vous vous",êtes engagés,"par écrit auprès des organisations syndicales à procéder d'' abord à une analyse précise de la situation, à travers la"
"PA610681,2017-07-10,Bareigts, Ericka","telle instabilité professionnelle, comment le relèvement des seuils de plan de sauvegarde de l'' emploi pourrait - il",être accepté,? Notre éloignement emporte également des conséquences sur notre organisation économique. Notre tissu économique
"PA719930,2017-07-10,Vallaud, Boris",": il avait été annoncé. J'' aimerais toutefois vous faire part d'' une conviction, moi qui, comme beaucoup d'' entre vous,",suis élu,"pour la première fois : il ne peut pas y avoir de grandes réformes, sur des sujets qui engagent la vie quotidienne de nos"
"PA609590,2017-07-10,Rabault, Valérie",", alors même que le groupe auquel elle appartient réalise d'' importants bénéfices. Voyez-vous, madame la ministre, je",suis élue,"dans une circonscription où vivent de nombreux salariés de Molex . Si votre disposition avait existé en 2009, ces"
"PA606712,2017-07-10,Lurton, Gilles",", un système beaucoup trop fastidieux à tenir à jour, véritable casse-tête pour les entreprises : si nous avions",été écoutés,"à l'' époque, nous aurions gagné quatre ans. Qui était ministre de l'' économie, à l'' époque ? Enfin, je tiens, madame la"
"PA606212,2017-07-10,Collard, Gilbert","parce qu'' on vous a dit de le faire ! C '' est insultant ! Non, je n'' insulte personne ; si je devais vous insulter, vous",seriez écrasés,"! Je dis simplement que quand on a la chance d'' avoir reçu un mandat du peuple, on ne le brade pas. Vous avez à défendre le"
",2017-07-10,","pas. Quand on sait que plus de 80 % des accords d'' entreprise sont signés par les organisations syndicales qui, elles,",sont élues,"par les salariés et donc parfaitement légitimes pour les représenter, cette appréciation éclaire l'' ensemble de vos"
"PA722102,2017-07-10,Vidal, Annie","nous incarnons le renouveau attendu par tant de citoyens ( Exclamations sur plusieurs bancs du groupe LR. ) –, ont",été choisis et élus,en raison d'' un certain profil de compétences professionnelles et sociales qui nous prédisposent à accomplir ce
"PA722102,2017-07-10,Vidal, Annie","de silence, voire d'' incompétence, est en fait l'' expression de la fidélité à un programme sur lequel nous nous",sommes engagés,". Enfin, ce que nous avons entendu en allant très largement à la rencontre de nos électeurs, quels qu'' ils soient – ceux"
",2017-07-10,","parler madame la ministre, s'' il vous plaît ! Je vous ai écouté : je vous remercie de m'' écouter à votre tour. Comme je m'' y",suis engagée,", je souhaite apporter des précisions sur ce que nous avons retenu à ce jour de la concertation concernant le premier"
"PA722046,2017-07-10,Bergé, Aurore","que le chômage structurel est une exception française. Pour notre part, au sein de la majorité, nous refusons qu'' on",soit condamné,à choisir entre deux options : subir les mutations économiques ou être assigné à résidence. Vous avez fait référence à
