"corpus","preloaded/ske_parlamint21_fr"
"subcorpus","-"
"concordance size","1193"
"query","Query:[lemma=""se""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""je""] []{0,3} [lemma=""me""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""tu""] []{0,3} [lemma=""te""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""vous""] [tag!=""Fc""]{0,3} [lemma=""vous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""nous""] [tag!=""Fc""]{0,3} [lemma=""nous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""]"
"Reference","Left","KWIC","Right"
"PA718868,2017-09-26","moins ! C '' est la raison pour laquelle l'' accord qui se dessine entre Alstom et Siemens mérite toute notre attention ! Je","vous interpelle aujourd''hui pour vous faire entendre","les voix inquiètes des 2 460 salariés d'' Alstom à Saint-Ouen et des 1 220 à La Rochelle ou à Valenciennes . Et à Belfort ? Au"
"PA720100,2017-09-26","qui attisent la haine. Il n'' y en a plus. Ils ont été fermés. Des fidèles y assistent pendant des mois, acceptant de","se faire endoctriner",", et nous ne voudrions pas les sanctionner eux-mêmes ? Je suis navré de vous dire – quitte à paraître un peu caricatural –"
"PA721896,2017-09-26","dans un délai maximal de huit jours après la notification de la décision. Troisièmement, elle doit pouvoir","se faire assister","par un conseil. Ces garanties nous semblent minimales et susceptibles de faire l'' objet d'' un consensus. Quel est l''"
"PA721364,2017-09-27","à ces amendements. Pour le premier, il s'' agit d'' un débat que nous avons déjà eu, ici et en commission. C '' est un point qui","nous sépare : nous faisons le choix de sortir","– de façon maîtrisée – de l'' état d'' urgence, en adaptant au droit commun certains outils de l'' état d'' urgence, notamment"
"PA606212,2017-09-27","s'' agit pas de présomptions ! Aujourd''hui , ce sont les policiers qui tombent, ce sont eux qui prennent des coups, eux qui","se font insulter",". Ce sont des organisations syndicales qui manifestent en insultant la police. Alors si l'' on doit être vigilant et"
"PA335612,2017-09-27",", monsieur ! La parole est à M. Jean-Paul Lecoq. Selon les statistiques, on a beaucoup plus de probabilité de","se faire contrôler","si on est de couleur que si on est blanc, si on est un homme de couleur que si on est une femme de couleur. Au bout du compte,"
"PA642868,2017-09-27","amendement vise à permettre aux entreprises en lien direct ou indirect avec la sécurité des personnes et des biens de","se faire communiquer",", sur leur demande, l'' identité de leurs employés inscrits au fichier de traitement des signalements pour la"
"PA721314,2017-09-28",", vous parlez de liberté de circulation. Essayez d'' aller au Canada sans visa de séjour, ne serait - ce que touristique.","Vous vous ferez refouler","à l'' aéroport et reviendrez en France . Vous voudriez garantir la liberté de circulation à des personnes dont on sait"
"PA330684,2017-09-28","identifiés comme dangereux pour notre démocratie. Par-dessus le marché, nous recevons des leçons de morale et","nous nous faisons brocarder","! Madame la ministre , cela n'' est pas possible. Si , ça l'' est ! Ne serions - nous pas en train d'' organiser notre propre"
"PA721210,2017-09-28","la parole, et je vous la donnerai. Pour l'' heure, laissez M. Petit s'' exprimer. Mais enfin, madame la présidente,","nous nous faisons insulter","d'' abord par l'' extrême droite, et maintenant par eux ! Je vais vous expliquer ce que j'' entends par "" faire des phrases "","
